"","x"
"442","18/02/1982 (evening)"
"443","20/02/1982 (morning)"
"444","21/02/1982 (evening)"
"445","23/02/1982 (morning)"
"446","24/02/1982 (evening)"
"447","26/02/1982 (morning)"
"448","27/02/1982 (evening)"
"449","01/03/1982 (morning)"
"450","02/03/1982 (evening)"
"451","04/03/1982 (morning)"
"452","06/03/1982 (evening)"
"453","07/03/1982 (morning)"
"454","09/03/1982 (evening)"
"455","10/03/1982 (morning)"
"456","12/03/1982 (evening)"
"457","13/03/1982 (morning)"
"458","15/03/1982 (evening)"
"459","16/03/1982 (morning)"
"460","18/03/1982 (evening)"
"461","19/03/1982 (morning)"
"462","21/03/1982 (evening)"
"463","23/03/1982 (morning)"
"464","24/03/1982 (evening)"
"465","26/03/1982 (morning)"
"466","27/03/1982 (evening)"
"467","29/03/1982 (morning)"
"468","30/03/1982 (evening)"
"469","01/09/1982 (morning)"
"470","02/09/1982 (evening)"
"471","04/09/1982 (morning)"
"472","05/09/1982 (evening)"
"473","07/09/1982 (morning)"
"474","08/09/1982 (evening)"
"475","10/09/1982 (morning)"
"476","11/09/1982 (evening)"
"477","13/09/1982 (morning)"
"478","15/09/1982 (evening)"
"479","16/09/1982 (morning)"
"480","18/09/1982 (evening)"
"481","19/09/1982 (morning)"
"482","21/09/1982 (evening)"
"483","22/09/1982 (morning)"
"484","24/09/1982 (evening)"
"485","25/09/1982 (morning)"
"486","27/09/1982 (evening)"
"487","29/09/1982 (morning)"
"488","30/09/1982 (evening)"
"489","02/10/1982 (morning)"
"490","03/10/1982 (evening)"
"491","05/10/1982 (morning)"
"492","06/10/1982 (evening)"
"493","08/10/1982 (morning)"
"494","09/10/1982 (evening)"
"495","11/10/1982 (morning)"
"496","13/10/1982 (evening)"
"497","14/10/1982 (morning)"
"498","16/10/1982 (evening)"
"499","17/10/1982 (morning)"
"500","19/10/1982 (evening)"
"501","20/10/1982 (morning)"
"502","22/10/1982 (evening)"
"503","23/10/1982 (morning)"
"504","25/10/1982 (evening)"
"505","26/10/1982 (morning)"
"506","28/10/1982 (evening)"
"507","30/10/1982 (morning)"
"508","31/10/1982 (evening)"
"509","02/11/1982 (morning)"
"510","03/11/1982 (evening)"
"511","05/11/1982 (morning)"
"512","06/11/1982 (evening)"
"513","08/11/1982 (morning)"
"514","09/11/1982 (evening)"
"515","11/11/1982 (morning)"
"516","13/11/1982 (evening)"
"517","14/11/1982 (morning)"
"518","16/11/1982 (evening)"
"519","17/11/1982 (morning)"
"520","19/11/1982 (evening)"
"521","20/11/1982 (morning)"
"522","22/11/1982 (evening)"
"523","23/11/1982 (morning)"
"524","25/11/1982 (evening)"
"525","27/11/1982 (morning)"
"526","28/11/1982 (evening)"
"527","30/11/1982 (morning)"
"528","01/12/1982 (evening)"
"529","03/12/1982 (morning)"
"530","04/12/1982 (evening)"
"531","06/12/1982 (morning)"
"532","07/12/1982 (evening)"
"533","09/12/1982 (morning)"
"534","11/12/1982 (evening)"
"535","12/12/1982 (morning)"
"536","14/12/1982 (evening)"
"537","15/12/1982 (morning)"
"538","17/12/1982 (evening)"
"539","18/12/1982 (morning)"
"540","20/12/1982 (evening)"
"541","21/12/1982 (morning)"
